createTimestamp,asOfDateGmt,chronologicalAge,bmi,rhr,totalVigorousDays,totalVigorousIMs,numOfWeeksForIM,healthyBmi,healthyFat,vo2MaxForHealthyActive,biometricVo2Max,currentBioAge,healthyAllBioAge,healthyActiveBioAge,weightDataLastEntryDate,rhrLastEntryDate
2025-07-03T13:45:01.392,2025-07-03,28,20.453086419753085,61,11,428,6,22.29496402877698,22.3,42.52205825520557,43.04529834378014,24.9215453208998,24.465323518163466,25.22986641056979,2024-06-24,2025-07-03
2025-07-05T08:19:59.657,2025-07-05,28,20.453086419753085,61,10,420,6,22.29496402877698,22.3,42.52205825520557,43.04529834378014,24.9215453208998,24.465323518163466,25.22986641056979,2024-06-24,2025-07-05
2025-07-06T11:37:52.981,2025-07-06,28,20.453086419753085,61,11,448,6,22.29496402877698,22.3,42.52205825520557,43.04529834378014,24.9215453208998,24.465323518163466,25.22986641056979,2024-06-24,2025-07-06
2025-07-07T18:59:48.372,2025-07-07,28,20.453086419753085,61,12,495,6,22.29496402877698,22.3,42.52205825520557,43.83227729123264,24.420787076341522,24.465323518163466,25.22986641056979,2024-06-24,2025-07-07
2025-07-08T17:56:47.832,2025-07-08,28,20.453086419753085,61,11,441,6,22.29496402877698,22.3,42.52205825520557,43.04529834378014,24.9215453208998,24.465323518163466,25.22986641056979,2024-06-24,2025-07-08
2025-07-11T06:56:40.583,2025-07-10,28,20.453086419753085,61,11,399,6,22.29496402877698,22.3,42.52205825520557,43.04529834378014,24.9215453208998,24.465323518163466,25.22986641056979,2024-06-24,2025-07-11
2025-07-11T06:56:40.583,2025-07-11,28,20.453086419753085,61,11,399,6,22.29496402877698,22.3,42.52205825520557,43.04529834378014,24.9215453208998,24.465323518163466,25.22986641056979,2024-06-24,2025-07-11
2025-07-13T19:51:53.142,2025-07-13,28,20.453086419753085,61,12,453,6,22.29496402877698,22.3,42.52205825520557,43.83227729123264,24.420787076341522,24.465323518163466,25.22986641056979,2024-06-24,2025-07-13
2025-07-14T17:57:27.456,2025-07-14,28,20.453086419753085,61,13,501,6,22.29496402877698,22.3,42.52205825520557,43.83227729123264,24.420787076341522,24.465323518163466,25.22986641056979,2024-06-24,2025-07-14
2025-07-15T19:27:01.750,2025-07-15,28,20.453086419753085,61,13,510,6,22.29496402877698,22.3,42.52205825520557,43.83227729123264,24.420787076341522,24.465323518163466,25.22986641056979,2024-06-24,2025-07-15
2025-07-18T07:33:48.36,2025-07-18,28,20.453086419753085,60,12,448,6,22.29496402877698,22.3,42.52205825520557,43.93770044913864,24.353705846710554,24.465323518163466,25.22986641056979,2024-06-24,2025-07-18
2025-07-20T18:48:27.121,2025-07-20,28,20.453086419753085,60,12,432,6,22.29496402877698,22.3,42.52205825520557,43.93770044913864,24.353705846710554,24.465323518163466,25.22986641056979,2024-06-24,2025-07-20
2025-07-21T06:21:29.895,2025-07-21,28,20.453086419753085,60,12,419,6,22.29496402877698,22.3,42.52205825520557,43.93770044913864,24.353705846710554,24.465323518163466,25.22986641056979,2024-06-24,2025-07-21
2025-07-22T13:33:11.614,2025-07-22,28,20.453086419753085,59,11,379,6,22.29496402877698,22.3,42.52205825520557,43.25614465959213,24.78738286163787,24.465323518163466,25.22986641056979,2024-06-24,2025-07-22
2025-07-23T05:49:32.600,2025-07-23,28,20.453086419753085,59,11,379,6,22.29496402877698,22.3,42.52205825520557,43.25614465959213,24.78738286163787,24.465323518163466,25.22986641056979,2024-06-24,2025-07-23
2025-07-25T19:53:46.760,2025-07-25,28,20.453086419753085,59,10,395,6,22.29496402877698,22.3,42.52205825520557,43.25614465959213,24.78738286163787,24.465323518163466,25.22986641056979,2024-06-24,2025-07-25
2025-07-27T18:10:54.244,2025-07-26,28,20.453086419753085,58,10,395,6,22.29496402877698,22.3,42.52205825520557,43.361567817498134,24.7203016320069,24.465323518163466,25.22986641056979,2024-06-24,2025-07-26
2025-07-27T18:10:55.307,2025-07-27,28,20.453086419753085,58,10,455,6,22.29496402877698,22.3,42.52205825520557,43.361567817498134,24.7203016320069,24.465323518163466,25.22986641056979,2024-06-24,2025-07-27
2025-07-29T04:38:15.987,2025-07-28,28,20.453086419753085,58,11,457,6,22.29496402877698,22.3,42.52205825520557,43.361567817498134,24.7203016320069,24.465323518163466,25.22986641056979,2024-06-24,2025-07-29
2025-07-29T19:05:01.456,2025-07-29,28,20.453086419753085,58,12,482,6,22.29496402877698,22.3,42.52205825520557,44.14854676495064,24.21954338744862,24.465323518163466,25.22986641056979,2024-06-24,2025-07-29
2025-08-02T12:41:50.231,2025-08-01,28,20.453086419753085,57,11,470,6,22.29496402877698,22.3,42.52205825520557,43.46699097540413,24.653220402375933,24.465323518163466,25.22986641056979,2024-06-24,2025-08-01
2025-08-02T12:44:41.671,2025-08-02,28,20.453086419753085,57,11,470,6,22.29496402877698,22.3,42.52205825520557,43.46699097540413,24.653220402375933,24.465323518163466,25.22986641056979,2024-06-24,2025-08-02
2025-08-03T15:41:30.952,2025-08-03,28,20.453086419753085,57,12,561,6,22.29496402877698,22.3,42.52205825520557,44.25396992285664,24.152462157817652,24.465323518163466,25.22986641056979,2024-06-24,2025-08-03
2025-08-04T18:34:23.706,2025-08-04,28,20.453086419753085,57,13,617,6,22.29496402877698,22.3,42.52205825520557,44.25396992285664,24.152462157817652,24.465323518163466,25.22986641056979,2024-06-24,2025-08-04
2025-08-05T07:04:10.2,2025-08-05,28,20.453086419753085,57,13,617,6,22.29496402877698,22.3,42.52205825520557,44.25396992285664,24.152462157817652,24.465323518163466,25.22986641056979,2024-06-24,2025-08-05
